(epoch: 70, iters: 500, time: 5.408, data: 18.944) D_A: 0.276 G_A: 0.305 cycle_A: 0.246 idt_A: 0.150 D_B: 0.242 G_B: 1.046 cycle_B: 0.284 idt_B: 0.061 
(epoch: 71, iters: 500, time: 5.278, data: 21.375) D_A: 0.259 G_A: 0.172 cycle_A: 0.139 idt_A: 0.089 D_B: 0.258 G_B: 0.134 cycle_B: 0.205 idt_B: 0.053 
(epoch: 72, iters: 500, time: 5.234, data: 8.574) D_A: 0.148 G_A: 0.385 cycle_A: 0.183 idt_A: 0.145 D_B: 0.156 G_B: 0.348 cycle_B: 0.132 idt_B: 0.068 
(epoch: 73, iters: 500, time: 5.170, data: 4.534) D_A: 0.168 G_A: 0.362 cycle_A: 0.174 idt_A: 0.231 D_B: 0.156 G_B: 0.299 cycle_B: 0.235 idt_B: 0.069 
(epoch: 74, iters: 500, time: 5.334, data: 2.811) D_A: 0.256 G_A: 0.265 cycle_A: 0.129 idt_A: 0.048 D_B: 0.109 G_B: 0.060 cycle_B: 0.119 idt_B: 0.051 
(epoch: 75, iters: 500, time: 5.307, data: 2.735) D_A: 0.122 G_A: 0.270 cycle_A: 0.139 idt_A: 0.094 D_B: 0.459 G_B: 0.473 cycle_B: 0.230 idt_B: 0.060 
(epoch: 76, iters: 500, time: 5.399, data: 12.533) D_A: 0.431 G_A: 1.079 cycle_A: 0.175 idt_A: 0.070 D_B: 0.347 G_B: 0.409 cycle_B: 0.171 idt_B: 0.065 
(epoch: 77, iters: 500, time: 5.298, data: 2.667) D_A: 0.197 G_A: 0.414 cycle_A: 0.153 idt_A: 0.070 D_B: 0.094 G_B: 0.212 cycle_B: 0.146 idt_B: 0.060 
(epoch: 78, iters: 500, time: 5.309, data: 2.825) D_A: 0.127 G_A: 0.205 cycle_A: 0.145 idt_A: 0.053 D_B: 0.189 G_B: 0.386 cycle_B: 0.128 idt_B: 0.057 
(epoch: 79, iters: 500, time: 5.325, data: 21.688) D_A: 0.148 G_A: 0.305 cycle_A: 0.170 idt_A: 0.054 D_B: 0.267 G_B: 0.452 cycle_B: 0.136 idt_B: 0.072 
(epoch: 80, iters: 500, time: 5.325, data: 4.526) D_A: 0.253 G_A: 0.102 cycle_A: 0.179 idt_A: 0.051 D_B: 0.080 G_B: 0.192 cycle_B: 0.138 idt_B: 0.071 
(epoch: 81, iters: 500, time: 5.389, data: 27.314) D_A: 0.255 G_A: 0.490 cycle_A: 0.190 idt_A: 0.099 D_B: 0.186 G_B: 0.436 cycle_B: 0.197 idt_B: 0.083 
(epoch: 82, iters: 500, time: 5.393, data: 3.056) D_A: 0.192 G_A: 0.343 cycle_A: 0.186 idt_A: 0.064 D_B: 0.353 G_B: 0.082 cycle_B: 0.167 idt_B: 0.073 
(epoch: 83, iters: 500, time: 6.014, data: 12.589) D_A: 0.325 G_A: 0.246 cycle_A: 0.147 idt_A: 0.050 D_B: 0.144 G_B: 0.407 cycle_B: 0.107 idt_B: 0.060 
(epoch: 84, iters: 500, time: 5.539, data: 21.700) D_A: 0.145 G_A: 0.146 cycle_A: 0.112 idt_A: 0.079 D_B: 0.136 G_B: 0.101 cycle_B: 0.198 idt_B: 0.045 
(epoch: 85, iters: 500, time: 5.484, data: 2.663) D_A: 0.307 G_A: 0.695 cycle_A: 0.143 idt_A: 0.053 D_B: 0.067 G_B: 0.325 cycle_B: 0.126 idt_B: 0.061 
(epoch: 86, iters: 500, time: 5.255, data: 4.123) D_A: 0.253 G_A: 0.221 cycle_A: 0.189 idt_A: 0.062 D_B: 0.220 G_B: 0.674 cycle_B: 0.153 idt_B: 0.068 
(epoch: 87, iters: 500, time: 5.351, data: 27.312) D_A: 0.262 G_A: 0.255 cycle_A: 0.159 idt_A: 0.062 D_B: 0.200 G_B: 0.605 cycle_B: 0.157 idt_B: 0.065 
(epoch: 88, iters: 500, time: 5.397, data: 26.929) D_A: 0.328 G_A: 0.784 cycle_A: 0.186 idt_A: 0.091 D_B: 0.219 G_B: 0.639 cycle_B: 0.183 idt_B: 0.077 
(epoch: 89, iters: 500, time: 5.383, data: 31.257) D_A: 0.257 G_A: 0.535 cycle_A: 0.167 idt_A: 0.047 D_B: 0.352 G_B: 0.090 cycle_B: 0.113 idt_B: 0.067 
